company,sector,investmentStart,totalUnits,returnTime,averageCompanyBilling,workStyle,companySize,faturamentoMedio,capitalInstalacao
billy the grill,1,470000,42,24,175000,2,1,135000,435000
acai da barra,13,16000,136,16,0,2,0,215000,185000
casa do construtor,4,470000,398,36,90000,2,0,90000,557500
anjos colchoes,4,400000,171,8,150000,2,2,60000,165000
colchoes ortobom,13,19900,2090,12,80000,2,2,60000,99000
clube turismo,6,31000,540,6,200000,0,2,150000,11800
acium,5,90000,310,12,50000,2,0,35000,112500
bibi,4,430000,147,18,80000,2,0,80000,325000
bluefit,10,1280000,81,24,0,2,0,0,1650000
bioflora,6,23500,83,5,12000,0,1,60000,51750
agua de cheiro,5,70000,135,24,50000,2,0,0,0
ceopag,6,11500,360,6,0,0,0,0,0
brazil health,6,44000,47,6,25000,0,2,15000,0
conta4u,6,28000,14,11,43000,0,2,43000,6720
beetools the language school,13,4500,25,15,0,2,0,0,137500
br mania,1,200000,1184,24,0,2,2,0,364971
campinas celulares,3,120000,15,10,0,2,1,30000,17500
chef da empada,1,120000,48,24,0,2,1,0,0
cheflera,10,35000,99,6,0,2,1,22500,0
chiquinho sorvetes,1,320000,668,18,0,2,2,65000,295000
constance,9,360000,192,30,0,2,2,230000,0
antilhas embalagens,12,0,0,0,0,2,0,0,0
ara moveis,2,0,0,0,0,2,1,0,0
arezzo  co,9,475000,451,36,0,2,0,190000,0
aw contabil,12,0,0,0,0,2,0,0,0
5 a sec,8,80000,0,24,0,2,1,65000,162500
a fabrica de vendas,12,0,0,0,0,2,0,0,0
acqio,12,0,0,0,0,0,0,3500,0
ad clinic estetica e bemestar,12,225000,106,18,150000,2,2,0,236344
af credito solucoes financeiras,12,22000,49,3,0,1,2,0,0
franquia aramis mensawear,9,660000,86,18,0,2,2,0,0
bar do urso,1,220000,21,24,70000,2,1,45000,0
bittencourt inteligencia em redes de negocios,12,0,0,0,0,2,0,0,0
brewtainer,12,0,0,0,0,2,2,0,0
bten,12,0,0,0,0,0,2,0,0
btg pactual,12,0,0,0,0,2,0,0,0
dumond,9,365000,14,20,0,2,0,0,470000
central do franqueado,0,0,0,0,0,0,2,0,0
clinicorp,12,0,0,0,0,0,0,0,0
grupo acolher  cuidar,10,77000,1,0,0,2,2,0,0
bobs,1,502000,997,18,0,2,0,180000,1048750
casagroup,1,50990,2,18,0,2,2,0,0
agxt,7,300000,56,0,0,2,0,0,0
am pm,1,270000,1841,27,0,2,0,0,278250
american cookies,1,144900,27,24,0,2,0,70000,0
arranjos express,12,116000,115,13,0,2,1,0,42000
atitude point,9,94900,39,12,0,2,2,45000,0
babbo giovanni,1,320000,13,24,0,2,0,100000,260000
bebidas online,1,0,31,0,0,0,1,0,0
bidon corretora de seguros,12,12990,0,0,0,2,2,0,0
biomundo,1,415000,132,0,0,2,2,0,0
bmz auto brokers,11,38000,100,0,0,0,0,0,0
